Study Accession,Sample Accession or Sample ID,GMWI,Inverse Simpson,Richness,Shannon,Evenness
PRJEB11532,SAMEA3664967,3.6935794049120454,11.164857214311567,65.0,2.9248231142522454,0.5090009902655925
PRJEB11532,SAMEA3664968,0.8773612720460295,13.39434746594171,66.0,2.9281670743264425,0.5095829328045725
PRJEB11532,SAMEA3664969,1.1071532809429585,10.323938236012427,74.0,2.9361830345293685,0.5109779339796305
PRJEB11532,SAMEA3664970,0.7806969941062721,13.234321430926625,69.0,2.951327047269165,0.5136134155728899
PRJEB11532,SAMEA3664971,3.494774830961777,4.861538918028828,59.0,2.3633092818458734,0.41128188535632315
PRJEB11532,SAMEA3664972,2.661763032562893,1.8821203443546368,42.0,1.33339017178212,0.2320471670715109
PRJEB11532,SAMEA3664973,2.4532544091139097,13.799830824984024,64.0,3.062355127853781,0.5329354055727212
PRJEB11532,SAMEA3664974,3.8871701266779892,16.692070511274235,71.0,3.210279198812032,0.5586783293874891
PRJEB11532,SAMEA3664975,2.9290721154018353,2.3288100609394897,58.0,1.6574343342913858,0.2884399105517158
PRJEB11532,SAMEA3664976,2.3540548679956617,11.665826411909167,61.0,2.948602951652054,0.5131393467788041
PRJEB11532,SAMEA3664977,2.843292565861928,8.786657402974255,70.0,2.7763231060557265,0.48315783727006484
PRJEB11532,SAMEA3664978,2.5574024622189797,15.504321140945073,60.0,3.05217528417664,0.5311638281781209
PRJEB11532,SAMEA3664979,-2.575962445129866,7.121638976221143,55.0,2.669975872137086,0.4646504454511125
PRJEB11532,SAMEA3664980,1.2488946090198512,1.9657541373055463,57.0,1.4510791702378532,0.2525283429981614
PRJEB11532,SAMEA3664981,1.4313700016745572,8.601186074002966,59.0,2.4713855242944187,0.4300901729968418
PRJEB11532,SAMEA3664982,3.6263938019195003,1.5721867768835656,52.0,1.0753499506624895,0.18714095464511493
PRJEB11532,SAMEA3664983,3.394535831629996,5.097762369394972,65.0,2.2869582306756495,0.3979946679297067
PRJEB11532,SAMEA3664984,1.133840336967809,8.102905641636491,64.0,2.723793443416838,0.47401620741517786
PRJEB11532,SAMEA3664985,3.5747081605923996,1.683601789824131,57.0,1.2521703194108256,0.21791264212032144
PRJEB11532,SAMEA3664986,2.222269976815486,9.973862504091766,66.0,2.728220218098729,0.4747865899678135
PRJEB11532,SAMEA3664987,3.670485432608157,17.326704316139768,61.0,3.2414615313126838,0.5641049269975399
PRJEB11532,SAMEA3664988,4.1731919316724815,10.625249618098874,68.0,3.022592238860198,0.5260155512489054
PRJEB11532,SAMEA3664989,3.301141824665927,12.718696999075368,67.0,3.1057976596389216,0.5404956206129167
PRJEB11532,SAMEA3664990,1.9724834249311738,5.220513865098282,62.0,2.294029651870765,0.3992252929112175
PRJEB11532,SAMEA3664991,3.9373555766601838,10.035877163168673,52.0,2.7009074312141816,0.47003340147466866
PRJEB11532,SAMEA3664992,4.417183065590957,17.07808215299132,61.0,3.2717389646903827,0.5693740468622088
PRJEB11532,SAMEA3664993,1.6598150575669604,4.195715817882342,62.0,2.2421204738503624,0.39019164472664586
PRJEB11532,SAMEA3664994,4.38516230383244,6.182740375002984,60.0,2.615044963466027,0.4550909316557266
PRJEB11532,SAMEA3664995,3.5721292726780933,14.342917650737345,65.0,3.129138036240322,0.544557498661334
PRJEB11532,SAMEA3664996,-1.890827470843909,6.197354717094088,53.0,2.2986477820437696,0.4000289766689738
PRJEB11532,SAMEA3664997,1.8037504032980938,9.257262488964223,73.0,2.8434131589144567,0.4948333820835826
PRJEB11532,SAMEA3664998,3.362026055444427,14.675371905673876,60.0,3.0004491954913552,0.5221620426564324
PRJEB11532,SAMEA3664999,3.5817927752726844,12.35072040513785,60.0,2.9927901783645554,0.5208291595555687
PRJEB11532,SAMEA3665000,2.8564110454499567,13.659075871223807,73.0,3.0845470478339587,0.536797420061995
PRJEB11532,SAMEA3665001,1.4604190761729976,6.166000215399036,59.0,2.4198927065378455,0.42112898313823316
PRJEB11532,SAMEA3665002,3.7919860862249606,8.774599343984361,67.0,2.852389719390653,0.49639555456139783
PRJEB11532,SAMEA3665003,1.2884079942299143,13.36486051499044,69.0,3.0305811620818113,0.5274058472333505
PRJEB11532,SAMEA3665004,3.6450468103942955,7.827163646639536,53.0,2.6294810975116207,0.4576032225662464
PRJEB11532,SAMEA3665005,1.8929244144589301,14.326456984254067,112.0,3.099948880684736,0.539477769562363
PRJEB11532,SAMEA3665006,3.6236029326832466,7.399538362295189,58.0,2.6672945241738075,0.4641838159438767
PRJEB11532,SAMEA3665007,1.9124226159870867,11.03929642889455,69.0,2.8892405831756123,0.5028086350883145
PRJEB11532,SAMEA3665008,3.2530289459044948,3.9608757099346876,63.0,2.017793916643638,0.35115255234369147
PRJEB11532,SAMEA3665009,2.6721808240136355,19.60485812085953,90.0,3.34223594418738,0.5816424921571915
PRJEB11532,SAMEA3665010,2.280684287349211,9.816679404835803,73.0,2.8627652430083375,0.498201185736217
PRJEB11532,SAMEA3665011,4.148745813143787,2.6258723975921803,54.0,1.7330582704617363,0.3016005896406225
