GMHI,Richness,Evenness,Shannon,Inverse Simpson
-1.4153,74,0.458,2.6316,9.0385
-2.9455,91,0.2103,1.2083,1.6348
-2.0898,108,0.4669,2.6828,7.5215
-1.37,110,0.3164,1.8184,3.5076
-2.7951,136,0.4978,2.8604,8.4775
-0.4831,100,0.5913,3.3975,18.1011
-4.1102,111,0.476,2.7352,7.1176
-1.4738,128,0.5038,2.8951,8.7955
-4.5923,76,0.4818,2.7684,10.3601
-4.5326,81,0.4147,2.3828,6.4898
-0.0558,89,0.2568,1.4756,2.2035
-2.6991,98,0.4857,2.7908,6.9104
-2.4662,150,0.5199,2.9874,7.8399
-4.8228,74,0.4806,2.7619,8.9806
-0.3257,118,0.4926,2.8307,8.7972
-3.3861,117,0.5093,2.9265,10.2614
-4.5663,70,0.3103,1.7833,2.9815
-0.7848,87,0.3484,2.0022,4.0056
-1.0739,117,0.4997,2.8715,9.2868
-2.2072,102,0.5123,2.9438,10.5362
-0.3533,106,0.5336,3.066,12.2035
-1.7326,129,0.4071,2.3394,4.6153
-2.2356,115,0.3081,1.7704,2.6253
-4.522,71,0.48,2.758,9.8824
-4.7302,98,0.5665,3.2551,17.7262
-4.159,51,0.1228,0.7058,1.3387
-1.789,103,0.5158,2.9637,10.4374
-3.866,94,0.4556,2.6179,6.2392
-3.9854,126,0.4604,2.6455,7.2417
-3.9437,45,0.3664,2.1055,5.4178
-1.577,125,0.5971,3.4311,19.5694
-2.6268,126,0.5406,3.1061,12.5961
-1.8092,101,0.3664,2.1053,4.4278
-0.7467,100,0.4485,2.5774,6.1076
-2.8184,133,0.4869,2.7976,9.5725
-2.2526,138,0.6162,3.5407,21.5028
0.4815,87,0.4349,2.4989,6.4337
-3.471,98,0.3782,2.1732,5.0179
-4.3085,113,0.4967,2.8544,10.8007
-4.0665,59,0.4791,2.7529,12.5337
-3.545,54,0.2774,1.5943,2.3183
-3.2766,161,0.5519,3.1715,11.3905
-1.9413,113,0.546,3.1371,12.1353
-4.9873,97,0.489,2.8099,9.608
-4.5288,113,0.4333,2.4901,5.6888
-4.2631,105,0.2428,1.3953,2.0622
-3.2055,119,0.4871,2.7992,8.9025
-4.4369,88,0.442,2.5399,6.9518
-0.7795,115,0.5208,2.9926,12.6398
-1.5402,124,0.5621,3.23,13.3695
-3.6297,150,0.4883,2.806,7.0358
-3.9981,67,0.1431,0.8222,1.4241
-3.1137,78,0.4541,2.6094,7.4184
-3.2268,66,0.315,1.8101,3.189
-3.85,144,0.5605,3.2205,13.9575
-2.2445,96,0.4771,2.7418,8.2227
-4.2871,91,0.5353,3.0759,12.5917
-3.3065,117,0.3253,1.8693,2.8108
-0.8083,122,0.5954,3.4215,19.585
-2.9661,101,0.5307,3.0498,11.5755
-4.9021,93,0.4132,2.3745,5.7967
-3.4532,123,0.554,3.1835,14.0242
-1.6725,129,0.554,3.1832,8.5582
-2.6557,111,0.4003,2.3001,3.4733
-3.5158,95,0.392,2.2523,4.3644
-4.2395,102,0.4849,2.7862,7.8503
-2.09,100,0.5457,3.1358,15.3613
-3.4834,100,0.3293,1.892,3.2633
-3.3027,127,0.4988,2.8662,7.0993
-2.5573,91,0.3686,2.1181,5.3543
-4.3618,104,0.4646,2.6694,8.8681
-1.2355,69,0.3431,1.9715,3.6747
-4.6194,117,0.3854,2.2145,3.5177
-1.6575,101,0.5375,3.0886,10.6044
-4.6662,104,0.5052,2.9031,12.0354
-1.0785,65,0.3171,1.8219,3.364
-0.136,96,0.5384,3.0939,14.405
-3.7979,76,0.5431,3.1207,14.2158
-2.7173,73,0.4631,2.661,9.2828
-0.6608,74,0.4443,2.5531,7.4355
-1.5904,71,0.4683,2.691,9.5665
-1.8085,110,0.6087,3.4976,18.5489
-0.0513,87,0.5731,3.2931,16.8204
1.177,75,0.515,2.9594,11.6655
-0.1836,89,0.5514,3.1682,15.9375
-3.6401,70,0.4373,2.5129,6.4505
-0.019,48,0.3444,1.979,3.9583
-1.5862,67,0.405,2.3275,4.5894
-4.1809,46,0.4293,2.4666,7.4932
-0.1241,77,0.4594,2.6396,8.2361
